ID,CoralExt,seagrassExt,mangroveExt,Cropland,Nb_sp,FRic,FDiv,FEve,FDis,FSpe,FOri,std_corals,std_seagrass,std_mangrove,std_cropcover,std_Nb_sp,std_FRic,std_FDiv,std_FEve,cdd_245_2050,cdd_370_2050,cdd_585_2050,evspsbl_245_2050,evspsbl_370_2050,evspsbl_585_2050,npp_245_2050,npp_370_2050,npp_585_2050,pH_trend_245_2050,pH_trend_370_2050,pH_trend_585_2050,r10p_245_2050,r10p_370_2050,r10p_585_2050,tap_trend_245_2050,tap_trend_370_2050,tap_trend_585_2050,sst_trend_245_2050,sst_trend_370_2050,sst_trend_585_2050,sst90p_245_2050,sst90p_370_2050,sst90p_585_2050,ts_trend_245_2050,ts_trend_370_2050,ts_trend_585_2050,ts90p_245_2050,ts90p_370_2050,ts90p_585_2050,ts90Int_245_2050,ts90Int_370_2050,ts90Int_585_2050,r10Int_245_2050,r10Int_370_2050,r10Int_585_2050,sst90Int_245_2050,sst90Int_370_2050,sst90Int_585_2050,hzd.mn.ssp245.2050,hzd.mn.ssp370.2050,hzd.mn.ssp585.2050,exp.mn.wioo,hzd.sd.ssp245.2050,hzd.sd.ssp370.2050,hzd.sd.ssp585.2050,exp.sd.wioo,wgts.Exposure,wgts.ssp245.2050,wgts.ssp370.2050,wgts.ssp585.2050,imp.ssp245.2050,imp.ssp370.2050,imp.ssp585.2050
AB130,NA,NA,NA,NA,169,0.89926,0.863606,0.626771,0.687986,0.632429,0.147486,NA,NA,NA,NA,0.3831261479548498,0.89926,0.863606,0.626771,0.7121962514062097,0.7157217196057464,0.717083336662465,0.33597389813552253,0.356369168618679,0.6637666398812501,0.6129878831637218,0.5910470402519543,0.7381780880134167,0.29221780099486594,0.47643079870119176,0.5435902247003824,0.3600199358977808,0.31327909608535515,0.2250465084111013,0.6862351730720674,0.6612052733698572,0.763768967767251,0.5241283051405675,0.5269303761980094,0.7098555817846308,0.5919746517532825,0.6783289159658056,0.7205897397315877,0.44865919531943127,0.5674795739356151,0.6948532997439636,0.3757690023035825,0.39618911383536415,0.3984888460037914,0.6846335831296263,0.6430872491118217,0.6399800641022192,0.3571295219499975,0.3305123652661527,0.37262606713809193,0.3334775185346542,0.503332526057175,0.544300151080713,0.48580020929240847,0.5199933243848252,0.5947790396169895,0.6931907869887124,0.15515321231856866,0.13806212943679771,0.16825570491084813,0.23948384347703527,2.8945200516425826,3.1310999110668636,3.766371897246945,3.5349710129123935,0.5065032434231362,0.5899536938240254,0.6561365935437627
AB131,NA,NA,NA,NA,168,0.898714,0.863522,0.629878,0.688494,0.632234,0.148369,NA,NA,NA,NA,0.37784364974680246,0.898714,0.863522,0.629878,0.544300151080713,0.5610952757199065,0.5335171581244762,0.6912080686177793,0.48612669353430277,0.7208289630617519,0.5328865783905401,0.5474781172780377,0.5720341089904489,0.29543472035726104,0.47518777052296074,0.5556467193697663,0.43000794524104535,0.5387175604630345,0.43904044924023095,0.4821242392955116,0.48735555152193577,0.6895211839044737,0.5127672844471268,0.5180608495008312,0.7045652796427391,0.5731679727151253,0.6910380066193932,0.6679947168989246,0.43342183306590115,0.5560470483261948,0.6881931058785875,0.3520448657842063,0.36540963925630504,0.38857790061724834,0.7194041007345116,0.6937970440592269,0.6551677688298687,0.5575192682064486,0.594313361930408,0.6247973013495659,0.30947033154337344,0.5716808415453694,0.5316275980389853,0.4949044122676572,0.5451005969444543,0.5978086349190052,0.6924894124367006,0.13099634376591254,0.08740662634189346,0.10487936916771401,0.2413178204983882,2.8696157250488916,3.7780017215750687,6.2363761165232265,5.6999640602628086,0.5589260348780442,0.7418542375274519,0.7901538416859591
AC128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717542257935276,0.7205897397315877,0.7208289630617519,0.3273204798391764,0.34228413019210147,0.46006934388853976,0.6443958644338524,0.5947845680783683,0.791047708763575,0.31213602379073535,0.48144540991666473,0.538335144421122,0.34849373226416736,0.3198671604932536,0.29221780099486594,0.676850098744289,0.6525574949157943,0.7572274918253509,0.507187523814906,0.5080448899344201,0.6855913356637456,0.58067325302615,0.6540928192602722,0.6993911626031749,0.4761823596320245,0.5863221187557165,0.7008929697952847,0.39511087901988245,0.41041277967773415,0.4294462709907067,0.6490891633527784,0.6190491324502955,0.5954935967618845,0.2911873944324348,0.20960437208989902,0.3183384112775532,0.35056852691085433,0.5063304535227152,0.553255055092034,0.4828259659381944,0.5081065437706787,0.580164250395353,NA,0.1554484291903087,0.15153627816288168,0.16503245333736521,NA,NA,3.1060202309737823,3.3530356554258947,3.5154555280673225,NA,NA,NA
AC129,NA,NA,NA,NA,169,0.904154,0.865388,0.632409,0.685595,0.631242,0.151104,NA,NA,NA,NA,0.38225592141250564,0.904154,0.865388,0.632409,0.711124275244412,0.7148262716741042,0.7159471020260452,0.3342721046314842,0.33892124539453294,0.6510420528011794,0.626414144836769,0.5883661455597722,0.775463435111362,0.2989175111892234,0.4772996999628051,0.5425597908193637,0.33841430037536463,0.3047918950248765,0.2609181769663617,0.682124880081739,0.6605741176735352,0.7691256989228613,0.5190485841466964,0.5216464910520668,0.7030003318389817,0.588975754103921,0.6718373826269208,0.7157217196057464,0.4575688343747878,0.5686629963568076,0.6936221746336946,0.386837183196194,0.3922579711543993,0.39419316397253046,0.6645468896949334,0.6516226075468059,0.6487478293195065,0.2869362274643126,0.2532610563473888,0.3603370624047563,0.33739337124247504,0.5043111833460832,0.5470225166022441,0.4794287738909471,0.5114137741323153,0.5982846965403564,0.6960517303531264,0.15917248378034013,0.15078267310719184,0.16618789315065097,0.2411773439370554,2.8860576992455322,3.0120078703588264,3.391727733655111,3.600049830332739,0.4918323925701508,0.5550517322826005,0.6670813344989072
AC130,NA,NA,NA,NA,170,0.904154,0.866033,0.629339,0.685958,0.631163,0.150215,NA,NA,NA,NA,0.38528470231633827,0.904154,0.866033,0.629339,0.47238291535114235,0.4793440995338959,0.4706315890735285,0.6038108861646357,0.4682466320461097,0.6936221746336946,0.5171357447846745,0.5387813272298523,0.5613669150395443,0.34650008910306446,0.58244110386188,0.5989191550693871,0.3886644396278952,0.5231346283793161,0.4252642942249029,0.5192338987028853,0.5417244258516559,0.7143821424218325,0.551011834797048,0.5325715638519082,0.763768967767251,0.5191721230909696,0.5833304511718346,0.6097000900462636,0.4421451667274611,0.5512091794918899,0.6867209039146448,0.37165966160613373,0.3752972381272285,0.37902900322681893,0.6900240730853523,0.6827460286079025,0.6745280758051118,0.6343874289995944,0.6510420528011794,0.6769970064986883,0.6337804851784856,0.6429788165421274,0.6716976885077353,0.5146083651707186,0.550219042115137,0.6097406158638002,0.6962026755790846,0.10810531239049291,0.08269271139882972,0.1187658698837917,0.24029622665305223,2.8972684476826407,4.760250479753248,6.6537791881247195,5.133971708037085,0.6452722563477374,0.7731743082886805,0.7862133397722821
AC131,NA,NA,NA,NA,168,0.89926,0.86423,0.630164,0.687728,0.63181,0.148863,NA,NA,NA,NA,0.37694847943305615,0.89926,0.86423,0.630164,0.4196200123798162,0.39750696588685996,0.44654630045803445,0.40379467540252506,0.5401864612382298,0.5670631607777862,0.33841430037536463,0.36346607643045226,0.38031299827884413,0.4197664999202894,0.48224761275156974,0.6522060388399947,0.5677575470037922,0.5860210221445425,0.6580845898925717,0.44174200620798243,0.20274664676581217,0.5730259529545083,0.27574501299906534,0.31772020190005473,0.5546480691034218,0.3044357080133781,0.32802273517929353,0.3278826642500834,0.4256928700230928,0.5369356090073436,0.682124880081739,0.33739337124247504,0.3698047435803455,0.3824888043992458,0.7338152323351914,0.6860738084769946,0.6657278953685158,0.5116007635069821,0.4483299139356338,0.4915263049710215,0.44052931777575455,0.38293818279010206,0.5186780645615716,0.4323313320912084,0.43399999846824877,0.5307935172259491,0.692650619858264,0.12095462859989767,0.12984653773434654,0.11913520717351019,0.24200505420530896,2.862132867979867,3.574326481719891,3.3424071680384024,4.455387536724505,0.47595721789963463,0.46349335158870786,0.6406947595594948
AD127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7187009276968281,0.721793006113251,0.7210688963332507,0.39544336837024685,0.380404289287042,0.4970955772019211,0.685271026606543,0.6325748040889864,0.7802440340959874,0.3144086643362543,0.4826176427582696,0.5371897642859136,0.3495356644757565,0.27004332972274153,0.2833730380125212,0.6682645958332598,0.6490891633527784,0.7534324730644072,0.5042500110342397,0.5044947057547141,0.6832144947501179,0.5782652285076261,0.6496602255118251,0.6943236539956582,0.4783535089479331,0.5822193380592822,0.6992051993196429,0.4080253482467176,0.41718878076383437,0.4267609864054287,0.6242309976964175,0.6106449213883481,0.6011850775814251,0.29719333877654996,0.10485042921252373,0.2675851448520808,0.35339178783053415,0.5067589539075713,0.5548475533137802,0.49041034371991593,0.5009491992247053,0.5768866071701643,NA,0.15011604935063394,0.1734302696455877,0.169986281610122,NA,NA,3.266874833445948,2.888476159602454,3.393724491799302,NA,NA,NA
AD128,NA,NA,NA,NA,171,0.905502,0.864845,0.633888,0.687192,0.633533,0.150413,NA,NA,NA,NA,0.38741973288280934,0.905502,0.864845,0.633888,0.7115514325934569,0.7154969492894228,0.7152727871287059,0.3299642069619577,0.3451916612548213,0.6040591077174269,0.7113375839373843,0.6275666800497802,0.84233700930383,0.30690045380280206,0.47959156776951045,0.5406344754961893,0.33854125456701956,0.2948405657069465,0.3136031902621064,0.6761187461614471,0.6571039913548944,0.7646326095184381,0.5125830345071084,0.514549672215021,0.6927527617688738,0.5846714450930915,0.6610787546054671,0.7055578023681739,0.4652826682356829,0.5746642231792761,0.6944998631312033,0.3871868570258014,0.3946943516867215,0.4070154067074273,0.6644164585153506,0.6458293416228141,0.6267972749273387,0.26152187802120924,0.14264178296072186,0.33687932836608253,0.3443512373259002,0.5056572255900519,0.550223562595101,0.48418671205755476,0.5045312897911884,0.5995588599454537,0.6979136832207024,0.16803867497690755,0.1696625653835776,0.1640699443361476,0.23907094839066775,2.919274332238127,2.8814004402503968,2.9737337087325706,3.654288190145743,0.4900208848164887,0.5187161494460658,0.6790635873964161
AD129,NA,NA,NA,NA,170,0.905502,0.865063,0.632409,0.686511,0.63247,0.151104,NA,NA,NA,NA,0.38442415723139906,0.905502,0.865063,0.632409,0.7043681241382472,0.7086055304070787,0.7092282670402393,0.3392999379336375,0.33240882116617376,0.7384781219787907,0.6843164311841925,0.6123771340941628,0.8129669096730459,0.2808309651073594,0.47468996340854014,0.5487829015849681,0.3460260050139296,0.3144086643362543,0.3131166362392455,0.6857518909107632,0.6640261018644775,0.7937278124584057,0.5304341636645113,0.5359203129703166,0.7210688963332507,0.593999875220762,0.6859127148037509,0.7237564895327291,0.4497108151538558,0.5588637319280978,0.6895211839044737,0.37262606713809193,0.3890964362657744,0.39166450426384053,0.6895211839044737,0.6540928192602722,0.65173906241711,0.3044357080133781,0.2703117035237977,0.3927649703951165,0.3183384112775532,0.4937919630090193,0.53585692638398,0.48458919835851966,0.5149619920798243,0.6171286678619381,0.6968495393078498,0.16842474639970378,0.15040750065466624,0.16488183474852236,0.24055063235752927,2.8968934002722784,2.877185263550867,3.423778666877596,3.742854201029375,0.48745035607829423,0.5631046721448946,0.7022610674429215
AD130,NA,NA,NA,NA,169,0.904154,0.865388,0.632409,0.685595,0.631242,0.151104,NA,NA,NA,NA,0.383559787096523,0.904154,0.865388,0.632409,0.4733815279288433,0.48224761275156974,0.47182052072721703,0.6058905120412837,0.4678062149322575,0.6984651773696564,0.5194810424033146,0.5406344754961893,0.5624560270093922,0.34374714397414713,0.5803067317847307,0.5977968133407288,0.3918342839087434,0.5241904536961762,0.4266188424875794,0.5171357447846745,0.5396749972524812,0.7152727871287059,0.5504861244720285,0.533075674778009,0.7604202273419725,0.5229484579967666,0.5892812534976645,0.6121161022658224,0.43658758667855174,0.5394833484333742,0.6840003142663406,0.36439028805069784,0.3705888013199591,0.38551894042141954,0.6944998631312033,0.6881931058785875,0.6591980399476937,0.6318764492637778,0.6480680574082224,0.6752480295308864,0.6299007106254404,0.6411496681933163,0.6638962936228853,0.5140122873276518,0.549592338109426,0.6086790858046385,0.69637769677413075,0.10944526365506844,0.08380252655208043,0.11622478491698687,0.24061207614523236,2.8941926271140286,4.696523816212194,6.558183395197196,5.237085069586365,0.6409727220735704,0.768520617656433,0.7901171728697916
AE127,NA,NA,NA,180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297051043844625,NA,NA,NA,NA,0.712628891596027,0.7166269619874787,0.7141609631538658,0.3738725220265237,0.37262606713809193,0.5901237961836393,0.6636371401504467,0.6157215523518293,0.7498315197550686,0.31246401753690684,0.48150714120802846,0.5380803749241667,0.3499958210811432,0.29303331800519455,0.3042570921740261,0.6693510400587883,0.6530277513436459,0.7568385675693704,0.5066365183257889,0.50743245382477,0.6851112705636646,0.5803067317847307,0.6532635918998027,0.6990196210948743,0.46610413631230957,0.5698518296163003,0.6939722460463821,0.3947777389292949,0.3928493201721431,0.41592559728878525,0.6475044944285699,0.6520891205549406,0.6168824362231232,0.22605454331758063,0.11363817102267781,0.20488654722778388,0.35136573321275616,0.5064528753682553,0.5535199405992551,0.4811307175969897,0.5021630888071661,0.5786623056003081,NA,0.16000732486918687,0.17210229904188798,0.17413600168736953,NA,NA,3.0069293264563703,2.9178174353437583,3.3230480773251827,NA,NA,NA
AE128,NA,NA,NA,NA,173.5,0.905502,0.8636125,0.630856,0.6916065,0.635888,0.149539,NA,NA,NA,NA,0.3977730351239196,0.905502,0.8636125,0.630856,0.7053583901582008,0.7088126055675653,0.7079872922152535,0.33571381618428087,0.34918937244392306,0.7460693479938373,0.6761187461614471,0.6060579887860224,0.7739454566824192,0.3020858700578811,0.4778577705558114,0.5418528366201926,0.34965087081855584,0.3118068941214125,0.31956329755545965,0.6772914656207328,0.6610787546054671,0.77344722991201,0.5171357447846745,0.5198518832273576,0.6992051993196429,0.5873794323881001,0.6671891635987632,0.711124275244412,0.4528473677834281,0.5617748505105656,0.6893541493336582,0.3759572748778084,0.3801302484400447,0.4019632677339441,0.6833711516524005,0.6736707650684054,0.6349971584226504,0.29444219763182616,0.17887333792699078,0.3037191350290605,0.33967734404686545,0.5044335306934706,0.5478690717667272,0.48438689785893857,0.5077482435035231,0.6039305936791745,0.6994358837809799,0.16261894950771918,0.16291674861015676,0.16740202076208488,0.2346066781416813,2.981312762796051,2.9786620767461405,3.1166116917697217,3.607666089870521,0.5048061602873298,0.5411336416499432,0.6895260843439837
